metric,effect_key,effect_scope,unit,tier_00,tier_20,tier_40,tier_65,tier_85,tier_100,catchup_1,catchup_2,catchup_3,max_tier_100_plus_catchup_3,advancement_stage,notes
construction_turns,rom_tech_module_engineering_construction,in_all_your_regions,turns_removed,-1,-2,-4,-6,-7,-7,0,0,0,-7,start_turn_completed,"Negative removes turns; -7 is the largest observed vanilla value and is intended to hit the 1-turn engine floor for buildings with base time up to 8 turns."
construction_cost,rom_general_local_mod_construction_costs,in_all_your_regions,percent,-10,-20,-40,-60,-78,-90,0,0,0,-90,start_turn_completed,"Canonical construction-cost channel; do not also emit rom_tech_engineering_construction_building_cost_mod."
building_gdp,rom_building_gdp_mod_all,in_all_your_regions,percent,10,25,60,125,250,400,40,100,200,600,start_turn_completed,"All building GDP; intentionally combines with tax but not with the leader-dependent GDP key."
tax_income,rom_tech_civil_economy_tax_mod,this_faction,percent,5,10,20,40,70,100,10,25,50,150,start_turn_completed,"Faction tax modifier; positive values increase tax income."
recruitment_cost,rom_force_campaign_mod_recruitment_cost_all,in_all_your_forces,percent,-10,-20,-40,-60,-78,-90,0,0,0,-90,start_turn_completed,"Canonical recruitment-cost channel; do not also emit rom_tech_military_management_unit_cost_mod."
unit_upkeep,rom_tech_military_management_upkeep_mod,in_all_your_forces,percent,-10,-15,-30,-50,-70,-90,0,0,0,-90,start_turn_completed,"Negative values reduce normal unit upkeep."
mercenary_recruitment_cost,rom_tech_military_management_mercenary_cost,this_faction,percent,-10,-20,-40,-60,-78,-90,0,0,0,-90,start_turn_completed,"Negative values reduce mercenary recruitment cost."
mercenary_upkeep,rom_tech_military_management_mercenary_upkeep,in_all_your_forces,percent,-10,-15,-30,-50,-70,-90,0,0,0,-90,start_turn_completed,"Negative values reduce mercenary upkeep."
land_recruitment_capacity,rom_building_recruitment_points,in_all_your_provinces,slots,1,2,3,4,6,8,1,2,4,12,start_turn_completed,"Additional land recruitment capacity per applicable province."
naval_recruitment_capacity,rom_building_recruitment_points_naval,in_all_your_sea_regions,slots,1,1,2,3,4,6,1,2,3,9,start_turn_completed,"Additional naval recruitment capacity per applicable sea region."
replenishment,rom_force_campaign_mod_replenishment_rate,in_all_your_regions,percentage_points,3,5,8,12,20,30,4,10,20,50,start_turn_completed,"Campaign replenishment bonus; composite capped at +50 points."
recruit_rank,rom_force_unit_mod_experience_base,in_all_your_provinces,rank,0,1,2,3,4,6,1,2,3,9,start_turn_initiated,"Generic recruit rank only; do not add infantry/cavalry-specific rank keys because they would double-stack. Zero-valued rows should be omitted."
army_armour,rom_force_unit_mod_armour,in_all_your_forces,armour_points,0,0,2,4,6,8,0,1,2,10,start_turn_completed,"Direct armour compensation capped at +10, matching an observed vanilla payload magnitude. Zero-valued rows should be omitted."
army_morale,rom_force_unit_mod_morale,in_all_your_forces,points,0,1,2,4,6,8,0,1,2,10,start_turn_completed,"Faction-wide morale compensation capped at the largest observed positive payload magnitude. Zero-valued rows should be omitted."
army_melee_damage,rom_force_unit_mod_melee_damage,in_all_your_forces,percent,0,0,1,2,4,6,0,1,4,10,start_turn_initiated,"Uses the exact faction-wide scope and advancement stage evidenced by the Mars payload; composite capped at +10%. Zero-valued rows should be omitted."
experience_gain,rom_force_unit_mod_experience_gain_rate,in_all_your_forces,percent,2,3,5,7,9,10,1,3,5,15,start_turn_completed,"Veteran units accumulate faster; composite capped at the largest observed technology payload magnitude."
research_rate,rom_building_research_points_mod,this_faction,percent,10,25,60,125,250,400,40,100,200,600,start_turn_completed,"All-research modifier; do not also emit civil/military-specific percentage keys."
research_points,rom_building_research_points,this_faction,flat_points,15,30,60,100,150,225,25,75,150,375,start_turn_completed,"Flat research ensures factions with weak research infrastructure still advance."
public_order,rom_faction_public_order_difficulty_level,in_all_your_provinces,points,10,20,40,75,125,200,25,75,200,400,start_turn_completed,"Deliberately extreme at maximum so AI revolts cease to be a strategic constraint."
food,rom_payload_food,this_faction,points,20,50,125,300,800,2000,150,600,3000,5000,start_turn_completed,"Faction food using the scope evidenced in AI difficulty rows; deliberately extreme."
province_growth,rom_province_growth_province_effects,in_all_your_provinces,points,2,3,5,8,12,20,3,7,15,35,start_turn_completed,"Accelerates settlement development and recovery."
